
Sample
MR02_001-A(10min_uncoated)_f_offline
Analysis Parameter File Name
tc_withtempoffsets_20200813.par With Temp Offsets
Started: 
11/09/2020
10:40:38
ended: 
11/09/2020 
10:49:39 
Atm Pres,mm Hg
377.1
Analyst
AR
Instrument Name
Lab_NDIR1
CalConst and NDIR Coefficients
22.412,6.39122E-05,9.35543E-03,23.5264,8.59102E-06,0
FilterArea
 1.005 
TransitTime
0,9
SBasic Version
 17302 
VBasic Version
OCEC1133Ox
 390 
FID1,FID2,Sample_temperature,laserTrans,laserLowTrans,pressure psig,mode,laserRefl,laserLowRefl,DesiredTempSetPt,TempOffsetPt,TimeStamp,MethanatorTemp,FrnOvn TC,Computed Offset,CO2_ppm,M_sig,R_sig,Cvolt,Tamb_ndir
0,0,32.44279,6742,12,0.183365,Ox,3189,0,70,-4,28662,-999,34,-1.964322,-5.1786823,3145182,2782731,15.039062,51.278762
0,0,32.26991,6743,11,0.193706,Ox,3189,0,70,-4,28646,-999,34,-1.853874,-7.0123295,3146842,2782600,15.045776,51.278762
0,0,32.40571,6745,11,0.21592,Ox,3190,0,70,-4,28630,-999,34,-1.843995,-7.441667,3147805,2784104,15.045776,51.278762
0,0,32.77571,6747,10,0.206345,Ox,3191,0,70,-4,28614,-999,35,-1.851755,-9.5123538,3149294,2783183,15.05249,51.278762
0,0,32.47125,6741,12,0.158853,Ox,3191,-1,70,-4,28598,-999,34,-1.872898,-10.728076,3150416,2783592,15.059204,51.278762
0,0,33.18116,6741,12,0.128979,Ox,3192,-2,70,-4,28582,-999,35,-1.8555,-11.270486,3150650,2783096,15.059204,51.278762
0,0,33.17207,6742,11,0.122468,Ox,3190,0,70,-4,28566,-999,35,-1.896066,-12.075697,3151256,2783305,15.059204,51.278762
0,0,32.76339,6744,11,0.129362,Ox,3191,-1,70,-4,28550,-999,35,-1.895547,-12.43577,3151702,2783396,15.039062,51.278762
0,0,33.16446,6740,11,0.151193,Ox,3189,0,70,-4,28534,-999,35,-1.872194,-12.778266,3151735,2783641,15.045776,51.278762
0,0,33.17302,6738,12,0.179152,Ox,3188,0,70,-4,28518,-999,35,-1.895112,-13.486583,3152385,2783082,15.045776,51.278762
0,0,33.51873,6742,11,0.202132,Ox,3190,0,70,-4,28502,-999,35,-1.895601,-13.468412,3152284,2783442,15.045776,51.278762
0,0,33.84514,6743,10,0.210941,Ox,3189,-1,70,-4,28486,-999,36,-1.915356,-13.887803,3153340,2783452,15.05249,51.278762
0,0,33.88942,6740,11,0.215537,Ox,3189,0,70,-4,28470,-999,36,-1.934008,-13.769179,3152935,2783638,15.059204,51.278762
0,0,34.13863,6740,9,0.214771,Ox,3188,0,70,-4,28454,-999,36,-1.936538,-14.707682,3153660,2783356,15.059204,51.278762
0,0,34.06145,6740,11,0.21592,Ox,3189,-1,70,-4,28438,-999,36,-1.950779,-14.753909,3153630,2783304,15.059204,51.278762
0,0,34.44344,6741,12,0.215537,Ox,3189,0,70,-4,28422,-999,36,-1.946369,-14.733141,3153694,2783366,15.039062,51.278762
0,0,34.35868,6741,11,0.215537,Ox,3188,0,70,-4,28406,-999,36,-1.968197,-14.918762,3153518,2782953,15.045776,51.278762
0,0,34.77253,6740,10,0.214771,Ox,3189,-1,70,-4,28390,-999,37,-1.963353,-15.128034,3154308,2783281,15.045776,51.278762
0,0,34.78034,6742,11,0.214005,Ox,3188,0,70,-4,28374,-999,37,-1.987002,-16.016767,3154542,2783401,15.045776,51.278762
0,0,35.09447,6743,11,0.213239,Ox,3188,0,70,-4,28358,-999,37,-1.987448,-15.729918,3154905,2783743,15.059204,51.278762
0,0,35.13944,6742,10,0.212856,Ox,3187,-1,70,-4,28342,-999,37,-2.005399,-16.219431,3154415,2783077,15.059204,51.278762
0,0,35.67159,6740,11,0.212856,Ox,3186,-1,70,-4,28326,-999,38,-2.007968,-15.444447,3154297,2783406,15.059204,51.278762
0,0,36.67894,6743,10,0.211324,Ox,3188,0,70,-4,28310,-999,39,-2.038377,-16.111536,3154433,2783205,15.039062,51.278762
0,0,35.01744,6744,11,0.208643,Ox,3190,0,70,-4,28294,-999,37,-2.095939,-16.312357,3154797,2782939,15.039062,51.278762
0,0,35.61566,6742,11,0.207111,Ox,3192,0,70,-4,28278,-999,38,-2.000997,-16.009407,3154621,2783046,15.045776,51.278762
0,0,35.61293,6744,12,0.200983,Ox,3195,0,70,-4,28262,-999,38,-2.03518,-16.143163,3154918,2783577,15.045776,51.278762
0,0,36.65085,6749,11,0.194855,Ox,3198,0,70,-4,28246,-999,39,-2.035024,-16.479333,3155345,2783385,15.059204,51.278762
0,0,35.49087,6749,11,0.186046,Ox,3198,0,70,-4,28230,-999,38,-2.094334,-16.193521,3155211,2783626,15.059204,51.278762
0,0,35.68296,6748,11,0.175705,Ox,3197,0,70,-4,28214,-999,38,-2.028049,-16.355349,3155111,2783469,15.059204,51.278762
0,0,35.86069,6750,10,0.16613,Ox,3197,0,70,-4,28198,-999,38,-2.039026,-16.303476,3155123,2783074,15.059204,51.278762
0,0,35.69328,6751,12,0.156938,Ox,3200,1,70,-4,28182,-999,38,-2.049182,-16.624212,3155315,2783496,15.039062,51.278762
0,0,35.89154,6750,12,0.15081,Ox,3202,0,70,-4,28166,-999,38,-2.039616,-15.921504,3155380,2784146,15.045776,51.278762
0,0,36.10036,6750,12,0.149661,Ox,3200,1,70,-4,28150,-999,38,-2.050945,-16.138175,3154800,2783228,15.045776,51.278762
