
Sample
20200922_batch37_falcon3_standard_tc_1.5
Analysis Parameter File Name
tc_withtempoffsets_20200813.par With Temp Offsets
Started: 
22/09/2020
14:15:41
ended: 
22/09/2020 
14:24:42 
Atm Pres,mm Hg
377.1
Analyst
ar
Instrument Name
Lab_NDIR1
CalConst and NDIR Coefficients
22.412,6.39122E-05,9.35543E-03,23.5264,8.59102E-06,0
FilterArea
 1.5 
TransitTime
0,9
SBasic Version
 17302 
VBasic Version
OCEC1133Ox
 390 
FID1,FID2,Sample_temperature,laserTrans,laserLowTrans,pressure psig,mode,laserRefl,laserLowRefl,DesiredTempSetPt,TempOffsetPt,TimeStamp,MethanatorTemp,FrnOvn TC,Computed Offset,CO2_ppm,M_sig,R_sig,Cvolt,Tamb_ndir
0,0,34.08385,4159,10,0.188344,Ox,5535,0,70,-4,16929,-999,36,-2.054246,-8.5242052,3143571,2779336,15.065917,51.278762
0,0,33.84432,4160,9,0.199451,Ox,5534,-1,70,-4,16913,-999,36,-1.947649,-9.1995239,3144550,2779705,15.065917,51.278762
0,0,33.85801,4162,8,0.218984,Ox,5536,0,70,-4,16897,-999,36,-1.933961,-10.476826,3145368,2779425,15.059204,51.278762
0,0,33.60547,4160,9,0.210558,Ox,5535,1,70,-4,16881,-999,36,-1.934743,-11.696197,3146017,2779385,15.045776,51.278762
0,0,33.80872,4160,9,0.163066,Ox,5534,1,70,-4,16865,-999,36,-1.920313,-11.790444,3146894,2779946,15.045776,51.278762
0,0,34.01738,4163,8,0.128979,Ox,5538,0,70,-4,16849,-999,36,-1.931927,-12.79218,3147390,2779343,15.05249,51.278762
0,0,34.03692,4162,9,0.122085,Ox,5535,0,70,-4,16833,-999,36,-1.94385,-12.650058,3147522,2779632,15.05249,51.278762
0,0,34.31899,4160,10,0.129745,Ox,5536,0,70,-4,16817,-999,36,-1.944967,-12.961674,3147213,2779248,15.065917,51.278762
0,0,34.74334,4162,10,0.151193,Ox,5537,0,70,-4,16801,-999,37,-1.961085,-13.599816,3147919,2779389,15.065917,51.278762
0,0,34.87639,4162,9,0.181833,Ox,5536,0,70,-4,16785,-999,37,-1.985333,-13.114125,3147899,2779444,15.059204,51.278762
0,0,35.59227,4160,10,0.205579,Ox,5538,0,70,-4,16769,-999,38,-1.992936,-14.514287,3149175,2779505,15.045776,51.278762
0,0,35.58281,4161,9,0.216686,Ox,5537,0,70,-4,16753,-999,38,-2.033844,-14.538714,3148513,2779417,15.045776,51.278762
0,0,35.48899,4161,9,0.221665,Ox,5537,0,70,-4,16737,-999,38,-2.033303,-14.48724,3149042,2779316,15.045776,51.278762
0,0,36.18625,4161,10,0.218984,Ox,5539,0,70,-4,16721,-999,38,-2.027943,-14.670894,3149466,2779758,15.05249,51.278762
0,0,36.11496,4161,10,0.221282,Ox,5538,0,70,-4,16705,-999,38,-2.067786,-14.905488,3149206,2779436,15.059204,51.278762
0,0,36.08759,4162,9,0.223197,Ox,5537,1,70,-4,16689,-999,38,-2.063712,-14.998165,3149449,2779306,15.065917,51.278762
0,0,36.93814,4162,9,0.221282,Ox,5538,1,70,-4,16673,-999,39,-2.062148,-15.214847,3149560,2779436,15.059204,51.278762
0,0,36.32357,4163,9,0.219367,Ox,5538,0,70,-4,16657,-999,38,-2.110751,-15.112874,3149915,2779738,15.059204,51.278762
0,0,36.70457,4163,9,0.220133,Ox,5540,1,70,-4,16641,-999,39,-2.075632,-15.922112,3150039,2779677,15.045776,51.278762
0,0,36.96576,4163,9,0.218984,Ox,5540,0,70,-4,16625,-999,39,-2.097404,-15.239684,3150116,2779814,15.045776,51.278762
0,0,37.3281,4163,9,0.217835,Ox,5539,0,70,-4,16609,-999,39,-2.112329,-16.05606,3149956,2779177,15.045776,51.278762
0,0,37.59031,4163,9,0.217452,Ox,5539,0,70,-4,16593,-999,40,-2.133034,-15.449926,3149943,2779521,15.05249,51.278762
0,0,37.04091,4164,9,0.218218,Ox,5536,0,70,-4,16577,-999,39,-2.148018,-15.52308,3150255,2779912,15.065917,51.278762
0,0,37.13518,4163,9,0.215154,Ox,5539,1,70,-4,16561,-999,39,-2.116623,-16.258961,3150049,2779319,15.065917,51.278762
0,0,37.25554,4161,10,0.210941,Ox,5541,0,70,-4,16545,-999,39,-2.12201,-16.286754,3150220,2779433,15.059204,51.278762
0,0,37.12292,4162,9,0.204047,Ox,5539,1,70,-4,16529,-999,39,-2.128888,-15.802687,3150453,2779492,15.045776,51.278762
0,0,37.31911,4165,9,0.195238,Ox,5545,0,70,-4,16513,-999,39,-2.12131,-16.143163,3150165,2779585,15.045776,51.278762
0,0,37.71656,4165,10,0.188727,Ox,5538,1,70,-4,16497,-999,40,-2.132521,-16.060502,3150266,2779448,15.045776,51.278762
