"FID1","FID2","Sample_temperature","laserTrans","laserLowTrans","pressure.psig","mode","laserRefl","laserLowRefl","DesiredTempSetPt","TempOffsetPt","TimeStamp","MethanatorTemp","FrnOvn.TC","Computed.Offset","CO2_ppm","M_sig","R_sig"
"0","0","500.0729","6437","3","0.247454","Ox","5090","0","500","-2","20768","-999","502","-2","6.7054328","3332967","2958666"
"0","0","500.484","6453","2","0.247071","Ox","5101","-1","500","-2","20752","-999","502","-2","7.3215928","3332692","2958662"
"0","0","500.719","6467","3","0.247837","Ox","5108","0","500","-2","20736","-999","503","-2","7.3268775","3332404","2958497"
"0","0","500.9246","6481","3","0.247837","Ox","5112","0","500","-2","20720","-999","503","-2","7.5834393","3332592","2958735"
"0","0","501.3063","6492","3","0.247837","Ox","5119","-1","500","-2","20704","-999","503","-2","8.2183837","3331761","2958658"
"0","0","501.8056","6508","3","0.246688","Ox","5127","0","500","-2","20688","-999","504","-2","8.020091","3331675","2958323"
"0","0","501.8056","6521","3","0.247071","Ox","5134","0","500","-2","20672","-999","504","-2","8.4114847","3331569","2958725"
"0","0","501.9524","6535","2","0.24822","Ox","5141","0","500","-2","20656","-999","504","-2","8.3842868","3331687","2958838"
"0","0","502.0699","6549","2","0.248986","Ox","5148","0","500","-2","20640","-999","504","-2","8.7262535","3331541","2958999"
"0","0","502.2461","6564","2","0.249752","Ox","5152","1","500","-2","20624","-999","504","-2","8.4649457","3331240","2958549"
"0","0","502.1079","6577","3","0.248986","Ox","5160","0","760","-18","20608","-999","504","-2.138221","8.2758188","3331499","2958984"
"0","0","502.0576","6591","1","0.248986","Ox","5155","0","760","-18","20592","-999","504","-2.129716","8.2524833","3331587","2958529"
"0","0","502.1782","6603","2","0.24822","Ox","5159","-1","760","-18","20576","-999","504","-2.126625","8.8911123","3331317","2959053"
"0","0","502.2296","6615","2","0.248603","Ox","5160","1","760","-18","20560","-999","504","-2.134044","8.6556606","3331389","2958969"
"0","0","502.7844","6627","4","0.249369","Ox","5169","0","760","-18","20544","-999","505","-2.137203","8.4097404","3331814","2958838"
"0","0","503.5725","6643","4","0.249369","Ox","5180","0","760","-18","20528","-999","506","-2.171345","8.5136795","3331538","2959244"
"0","0","504.3463","6653","7","0.249369","Ox","5196","0","760","-18","20512","-999","507","-2.219847","8.3002748","3331545","2958964"
"0","0","505.8552","6662","10","0.248986","Ox","5212","0","760","-18","20496","-999","508","-2.267465","7.6302685","3331976","2958855"
"0","0","507.2601","6675","12","0.250518","Ox","5218","1","760","-18","20480","-999","510","-2.360322","8.1518058","3332188","2958842"
"0","0","509.2295","6684","15","0.25205","Ox","5222","0","760","-18","20464","-999","512","-2.446777","7.8441658","3332365","2959030"
"0","0","511.4872","6696","20","0.25205","Ox","5227","1","760","-18","20448","-999","514","-2.567969","7.0983486","3332544","2958810"
"0","0","514.0209","6706","24","0.25205","Ox","5232","1","760","-18","20432","-999","517","-2.706905","7.4124956","3332600","2959073"
"0","0","517.1252","6714","30","0.252816","Ox","5239","1","760","-18","20416","-999","520","-2.862827","7.1634335","3332854","2959420"
"0","0","520.4589","6732","34","0.253582","Ox","5245","1","760","-18","20400","-999","524","-3.053857","6.349122","3333296","2958538"
"0","0","524.0137","6743","41","0.255114","Ox","5249","2","760","-18","20384","-999","527","-3.259011","6.5963845","3333771","2958897"
"0","0","527.8783","6759","47","0.253582","Ox","5255","2","760","-18","20368","-999","531","-3.477764","6.1437745","3334024","2958905"
"0","0","532.0474","6772","55","0.254348","Ox","5260","1","760","-18","20352","-999","536","-3.715588","5.4788041","3334594","2959235"
"0","0","536.8741","6780","65","0.253965","Ox","5257","4","760","-18","20336","-999","541","-3.972149","5.8705358","3334138","2959137"
"0","0","541.5729","6795","72","0.254731","Ox","5264","4","760","-18","20320","-999","546","-4.269175","5.038381","3334597","2958991"
"0","0","546.5156","6810","81","0.256263","Ox","5275","3","760","-18","20304","-999","551","-4.558334","4.6838507","3335199","2958975"
"0","0","551.9441","6825","91","0.256646","Ox","5279","4","760","-18","20288","-999","557","-4.862496","5.0918035","3334973","2959342"
"0","0","557.4322","6843","103","0.257029","Ox","5282","4","760","-18","20272","-999","563","-5.196559","4.6039648","3334642","2958988"
"0","0","563.3593","6866","115","0.257412","Ox","5291","5","760","-18","20256","-999","569","-5.534288","4.0793356","3335562","2958873"
"0","0","569.3792","6888","127","0.257029","Ox","5307","7","760","-18","20240","-999","575","-5.899035","4.1474037","3335727","2958589"
"0","0","575.6603","6906","142","0.256646","Ox","5319","7","760","-18","20224","-999","582","-6.269486","3.9249897","3335907","2959093"
"0","0","582.0163","6928","156","0.256263","Ox","5336","9","760","-18","20208","-999","589","-6.656021","3.7658317","3335954","2958896"
"0","0","588.5767","6951","173","0.257412","Ox","5354","10","760","-18","20192","-999","596","-7.047157","3.6169207","3335776","2958705"
"0","0","595.2457","6977","191","0.257412","Ox","5374","12","760","-18","20176","-999","603","-7.450871","3.8556342","3335859","2959046"
"0","0","602.1475","7000","212","0.257029","Ox","5390","12","760","-18","20160","-999","610","-7.861272","3.8902802","3335895","2958873"
"0","0","609.1571","7026","233","0.257029","Ox","5405","13","760","-18","20144","-999","617","-8.286001","3.7078266","3335706","2958578"
"0","0","615.8694","7051","256","0.257412","Ox","5423","16","760","-18","20128","-999","625","-8.71736","3.9297625","3335910","2959024"
"0","0","623.2248","7082","278","0.25588","Ox","5448","18","760","-18","20112","-999","632","-9.130424","4.1660647","3335364","2958809"
"0","0","630.1027","7101","303","0.256646","Ox","5460","20","760","-18","20096","-999","640","-9.583064","4.5760564","3335132","2958794"
"0","0","637.6365","7122","328","0.25588","Ox","5467","20","760","-18","20080","-999","648","-10.00632","4.3364419","3334977","2958866"
"0","0","644.9587","7139","343","0.256263","Ox","5478","23","760","-18","20064","-999","655","-10.46994","5.6639738","3334265","2958895"
"0","0","651.9152","7160","289","0.255497","Ox","5485","19","760","-18","20048","-999","663","-10.92054","5.3893022","3334114","2958827"
"0","0","657.4171","7194","239","0.254348","Ox","5504","15","760","-18","20032","-999","669","-11.34863","5.5686225","3334184","2958715"
"0","0","662.4783","7232","206","0.253582","Ox","5527","12","760","-18","20016","-999","674","-11.6872","6.7612977","3333258","2958832"
"0","0","667.1841","7269","232","0.255114","Ox","5540","12","760","-18","20000","-999","679","-11.99867","7.1594543","3332775","2958965"
"0","0","672.3309","7299","268","0.254731","Ox","5553","16","760","-18","19984","-999","685","-12.28825","6.9428315","3332790","2958742"
"0","0","677.5435","7322","286","0.253965","Ox","5578","17","760","-18","19968","-999","690","-12.60498","7.6622352","3332324","2958865"
"0","0","682.6964","7343","266","0.253965","Ox","5589","16","760","-18","19952","-999","696","-12.92575","8.2868957","3331984","2958576"
"0","0","686.9637","7375","225","0.253582","Ox","5595","14","760","-18","19936","-999","700","-13.24286","8.8019571","3331268","2959010"
"0","0","690.6924","7415","196","0.253199","Ox","5602","12","760","-18","19920","-999","704","-13.50546","8.9533147","3330865","2959021"
"0","0","693.89","7445","205","0.253582","Ox","5622","11","760","-18","19904","-999","708","-13.73492","9.282875","3331078","2959094"
"0","0","697.301","7475","200","0.253582","Ox","5648","11","760","-18","19888","-999","711","-13.93169","9.7134075","3330337","2958905"
"0","0","700.5514","7512","232","0.253582","Ox","5677","14","760","-18","19872","-999","715","-14.1416","9.5425071","3330518","2959250"
"0","0","704.2614","7527","262","0.253965","Ox","5702","17","760","-18","19856","-999","719","-14.34162","9.4397192","3330591","2958740"
"0","0","707.9153","7545","234","0.253965","Ox","5719","14","760","-18","19840","-999","722","-14.56993","9.6012573","3330372","2958995"
"0","0","711.037","7557","229","0.254731","Ox","5723","14","760","-18","19824","-999","726","-14.79479","9.9894065","3330129","2958920"
"0","0","713.7148","7567","206","0.253965","Ox","5729","12","760","-18","19808","-999","729","-14.9869","9.8157224","3330212","2958978"
"0","0","716.0322","7575","181","0.253199","Ox","5727","11","760","-18","19792","-999","731","-15.15168","10.090252","3330509","2959124"
"0","0","717.924","7587","166","0.253199","Ox","5730","9","760","-18","19776","-999","733","-15.29429","9.2763977","3330643","2958818"
"0","0","719.4535","7600","183","0.251667","Ox","5743","11","760","-18","19760","-999","735","-15.4107","9.867258","3330550","2959110"
"0","0","721.6344","7606","200","0.250901","Ox","5747","11","760","-18","19744","-999","737","-15.50483","9.9190454","3330674","2959238"
"0","0","723.8659","7600","229","0.251667","Ox","5744","14","760","-18","19728","-999","740","-15.63904","9.5108604","3330965","2959287"
"0","0","726.275","7597","208","0.251284","Ox","5743","11","760","-18","19712","-999","742","-15.77636","9.013091","3331229","2958792"
"0","0","728.1346","7595","196","0.25205","Ox","5740","11","760","-18","19696","-999","744","-15.92461","8.9560546","3331366","2958960"
"0","0","729.7589","7599","183","0.253199","Ox","5743","11","760","-18","19680","-999","746","-16.03905","8.8854455","3331877","2959072"
"0","0","731.1882","7599","163","0.251667","Ox","5743","10","760","-18","19664","-999","747","-16.13901","8.4430999","3331858","2958998"
"0","0","732.06","7606","149","0.251667","Ox","5747","7","760","-18","19648","-999","748","-16.22696","8.2244825","3332086","2958887"
"0","0","732.8463","7614","172","0.250901","Ox","5743","9","760","-18","19632","-999","749","-16.28061","8.184658","3332432","2959442"
"0","0","734.4481","7614","206","0.251284","Ox","5739","12","760","-18","19616","-999","751","-16.329","7.2844758","3332583","2958654"
"0","0","736.5704","7612","235","0.250901","Ox","5739","14","760","-18","19600","-999","753","-16.42757","7.6131663","3332385","2958774"
"0","0","738.5714","7607","243","0.251284","Ox","5740","13","760","-18","19584","-999","755","-16.55818","6.5121355","3332956","2958769"
"0","0","740.4005","7599","212","0.252433","Ox","5733","13","760","-18","19568","-999","757","-16.68132","6.6722512","3333589","2958891"
"0","0","741.6097","7604","187","0.251284","Ox","5736","11","760","-18","19552","-999","758","-16.79387","6.5570545","3333580","2959034"
"0","0","742.557","7606","182","0.251284","Ox","5737","10","760","-18","19536","-999","759","-16.86829","6.0339741","3334110","2958866"
"0","0","743.5205","7604","166","0.250901","Ox","5740","9","760","-18","19520","-999","760","-16.92659","5.607172","3334332","2958833"
"0","0","744.0022","7603","159","0.251284","Ox","5745","9","760","-18","19504","-999","761","-16.98588","5.6778178","3334122","2959214"
"0","0","744.3634","7608","150","0.250135","Ox","5747","7","760","-18","19488","-999","761","-17.01552","5.5133152","3334435","2959125"
"0","0","744.8522","7612","178","0.248986","Ox","5745","10","760","-18","19472","-999","762","-17.03775","5.0596623","3334772","2959399"
"0","0","745.9948","7600","209","0.250135","Ox","5746","11","760","-18","19456","-999","763","-17.06783","5.3698139","3334889","2959189"
"0","0","747.1274","7598","186","0.250901","Ox","5751","10","760","-18","19440","-999","764","-17.13814","4.2679281","3335570","2959178"
"0","0","747.8698","7601","163","0.250518","Ox","5754","9","760","-18","19424","-999","765","-17.20784","3.9869117","3336158","2959035"
"0","0","748.0045","7599","146","0.251284","Ox","5753","7","760","-18","19408","-999","765","-17.25352","3.5311036","3336301","2959158"
"0","0","748.1166","7603","135","0.250901","Ox","5750","7","760","-18","19392","-999","765","-17.26182","3.2795143","3336794","2959242"
"0","0","748.3203","7604","158","0.249752","Ox","5748","8","760","-18","19376","-999","766","-17.26871","2.3996264","3336813","2958616"
"0","0","748.9395","7608","187","0.250135","Ox","5751","11","760","-18","19360","-999","766","-17.28125","2.3866906","3337158","2958861"
"0","0","750.1953","7597","214","0.249752","Ox","5747","14","760","-18","19344","-999","768","-17.31936","1.8527331","3337545","2958829"
"0","0","751.2316","7591","192","0.250518","Ox","5745","10","760","-18","19328","-999","769","-17.39664","1.3465549","3337916","2959049"
"0","0","751.9504","7592","168","0.250901","Ox","5748","8","760","-18","19312","-999","769","-17.4604","0.60830688","3338865","2958552"
"0","0","752.147","7592","150","0.251667","Ox","5747","9","760","-18","19296","-999","770","-17.50464","0.72534956","3339051","2958982"
"0","0","751.9844","7597","138","0.250518","Ox","5747","8","760","-18","19280","-999","770","-17.51674","-0.55055999","3339970","2959055"
"0","0","751.9643","7600","148","0.250135","Ox","5748","7","760","-18","19264","-999","769","-17.50673","-0.36993172","3340012","2959473"
"0","0","752.2365","7601","161","0.249752","Ox","5749","9","760","-18","19248","-999","770","-17.5055","-0.83428163","3340085","2958737"
"0","0","752.7918","7600","171","0.249369","Ox","5750","9","760","-18","19232","-999","770","-17.52224","-1.5429817","3341158","2958962"
"0","0","753.2394","7593","179","0.249752","Ox","5745","10","760","-18","19216","-999","771","-17.55642","-2.0980551","3341721","2959277"
"0","0","753.6635","7596","163","0.249752","Ox","5742","10","760","-18","19200","-999","771","-17.58396","-2.7501142","3342145","2958962"
"0","0","754.1494","7597","166","0.250518","Ox","5741","8","760","-18","19184","-999","772","-17.61006","-3.257524","3342775","2958826"
"0","0","754.3001","7592","155","0.251284","Ox","5739","8","760","-18","19168","-999","772","-17.63996","-3.4347126","3342756","2958912"
"0","0","754.4113","7593","160","0.248986","Ox","5742","8","760","-18","19152","-999","772","-17.64924","-3.9072162","3343357","2959069"
"0","0","754.6454","7592","167","0.249752","Ox","5742","8","760","-18","19136","-999","772","-17.65608","-4.7280163","3344028","2958906"
"0","0","755.113","7583","170","0.250135","Ox","5741","10","760","-18","19120","-999","773","-17.67049","-4.804872","3344477","2959296"
"0","0","755.4456","7583","156","0.250518","Ox","5740","7","760","-18","19104","-999","773","-17.69926","-5.6611046","3344629","2959006"
"0","0","755.4252","7585","155","0.250135","Ox","5735","8","760","-18","19088","-999","773","-17.71973","-5.8050327","3345102","2958946"
"0","0","755.6373","7586","156","0.249752","Ox","5734","8","760","-18","19072","-999","773","-17.71847","-6.1323161","3345427","2958995"
"0","0","755.9556","7585","155","0.250518","Ox","5731","8","760","-18","19056","-999","774","-17.73153","-5.8711242","3345616","2959195"
"0","0","755.7854","7586","142","0.251284","Ox","5730","7","760","-18","19040","-999","774","-17.75112","-6.5946645","3345616","2959101"
"0","0","755.7054","7585","144","0.250135","Ox","5731","8","760","-18","19024","-999","773","-17.74064","-6.7809343","3346124","2958976"
"0","0","755.6201","7585","146","0.250135","Ox","5731","7","760","-18","19008","-999","773","-17.73572","-6.9237909","3345844","2959093"
"0","0","755.5651","7585","148","0.249369","Ox","5726","8","760","-18","18992","-999","773","-17.73046","-6.5243821","3346160","2959158"
"0","0","755.8094","7583","152","0.250135","Ox","5723","7","760","-18","18976","-999","774","-17.72708","-7.0520863","3345940","2958913"
"0","0","755.8848","7582","152","0.250135","Ox","5717","8","760","-18","18960","-999","774","-17.74212","-7.2222652","3346449","2959096"
"0","0","756.1814","7581","154","0.249752","Ox","5717","8","760","-18","18944","-999","774","-17.74675","-7.2404222","3346301","2958910"
"0","0","756.1933","7581","155","0.249369","Ox","5716","8","760","-18","18928","-999","774","-17.76501","-6.8249344","3346194","2959272"
"0","0","756.2528","7581","156","0.250135","Ox","5721","8","760","-18","18912","-999","774","-17.76574","-7.3497285","3346106","2958908"
"0","0","756.4902","7580","157","0.250518","Ox","5724","8","760","-18","18896","-999","774","-17.7694","-7.4901161","3346380","2958746"
"0","0","756.6564","7580","159","0.250135","Ox","5727","9","760","-18","18880","-999","774","-17.78401","-7.4100198","3346214","2958676"
"0","0","756.9173","7576","157","0.249752","Ox","5725","8","760","-18","18864","-999","775","-17.79424","-7.6293206","3346654","2958922"
"0","0","756.9916","7575","144","0.250135","Ox","5719","7","760","-18","18848","-999","775","-17.8103","-7.5116419","3346815","2959284"
"0","0","756.746","7574","142","0.250901","Ox","5718","6","760","-18","18832","-999","775","-17.81487","-7.1348485","3346385","2959353"
"0","0","756.7611","7573","141","0.250901","Ox","5713","8","760","-18","18816","-999","775","-17.79975","-7.5997033","3346237","2958769"
"0","0","756.7903","7573","141","0.250518","Ox","5713","7","760","-18","18800","-999","775","-17.80068","-7.684997","3346470","2958763"
"0","0","756.5173","7575","141","0.250518","Ox","5713","6","760","-18","18784","-999","774","-17.80248","-7.2217741","3346554","2959116"
