
Sample
UD20_DOC_3
Analysis Parameter File Name
swiss3s_ocremoval__withtempoffsets_20200513.par With Temp Offsets
Started: 
06/10/2020
12:07:19
ended: 
06/10/2020 
12:29:39 
Atm Pres,mm Hg
377.2
Analyst
TS
Instrument Name
Lab_NDIR1
CalConst and NDIR Coefficients
18.065,6.39122E-05,9.35543E-03,23.5264,8.59102E-06,0
FilterArea
 1 
TransitTime
0,9
SBasic Version
 17302 
VBasic Version
OCEC1133Ox
 1190 
FID1,FID2,Sample_temperature,laserTrans,laserLowTrans,pressure psig,mode,laserRefl,laserLowRefl,DesiredTempSetPt,TempOffsetPt,TimeStamp,MethanatorTemp,FrnOvn TC,Computed Offset,CO2_ppm,M_sig,R_sig,Cvolt,Tamb_ndir
0,0,28.8478,3247,9,4.268826,Ox,5741,0,1,-6,-11157,-999,35,-6,59.385857,3068915,2773306,15.045776,51.278762
0,0,28.40711,3246,9,4.310956,Ox,5739,0,1,-6,-11173,-999,34,-6,54.230546,3074103,2773433,15.045776,51.278762
0,0,28.65894,3246,8,4.444623,Ox,5739,-1,1,-6,-11189,-999,35,-6,49.501523,3080129,2775193,15.05249,51.278762
0,0,28.62746,3247,9,4.568332,Ox,5743,0,1,-6,-11205,-999,35,-6,44.310064,3081957,2771672,15.059204,51.278762
0,0,28.40711,3248,8,4.6051,Ox,5745,0,1,-6,-11221,-999,34,-6,39.761161,3089936,2775324,15.059204,51.278762
0,0,28.56451,3247,8,4.595142,Ox,5747,0,1,-6,-11237,-999,35,-6,34.74631,3095133,2775128,15.059204,51.278762
0,0,28.50155,3249,8,4.573311,Ox,5747,0,1,-6,-11253,-999,35,-6,30.890555,3096786,2773706,15.039062,51.278762
0,0,28.50155,3248,7,4.552629,Ox,5746,1,1,-6,-11269,-999,35,-6,27.236816,3099807,2772825,15.045776,51.278762
0,0,28.50155,3247,9,4.545352,Ox,5746,0,1,-6,-11285,-999,35,-6,23.857851,3103510,2773053,15.045776,51.278762
0,0,28.65894,3248,9,4.561438,Ox,5745,1,1,-6,-11301,-999,35,-6,21.208846,3106969,2773484,15.045776,51.278762
0,0,28.24971,3249,8,4.602036,Ox,5744,1,1,-6,-11317,-999,34,-6,18.486022,3109990,2773971,15.059204,51.278762
0,0,28.7219,3246,10,4.658337,Ox,5744,0,1,-6,-11333,-999,35,-6,15.508127,3113474,2773836,15.059204,51.278762
0,0,28.43859,3249,9,4.720383,Ox,5743,0,1,-6,-11349,-999,34,-6,13.059424,3116424,2774457,15.059204,51.278762
0,0,28.31267,3247,10,4.780897,Ox,5742,0,1,-6,-11365,-999,34,-6,11.009685,3119315,2774887,15.059204,51.278762
0,0,28.53303,3249,9,4.839879,Ox,5742,0,1,-6,-11381,-999,35,-6,8.2931814,3122307,2774574,15.039062,51.278762
0,0,28.7219,3248,9,4.895797,Ox,5742,1,1,-6,-11397,-999,35,-6,6.5168566,3123858,2774110,15.045776,51.278762
0,0,29.03666,3248,9,4.944821,Ox,5742,0,1,-6,-11413,-999,35,-6,4.9988594,3126174,2774773,15.045776,51.278762
0,0,28.8478,3247,9,4.994228,Ox,5739,1,1,-6,-11429,-999,35,-6,3.2155265,3127350,2774538,15.05249,51.278762
0,0,29.13108,3248,9,5.041337,Ox,5740,0,1,-6,-11445,-999,35,-6,1.5954088,3129103,2774055,15.059204,51.278762
0,0,28.87928,3248,9,5.084233,Ox,5738,1,1,-6,-11461,-999,35,-6,0.83078527,3130802,2774643,15.059204,51.278762
0,0,29.13108,3247,9,5.127895,Ox,5739,0,1,-6,-11477,-999,35,-6,-0.91839017,3132444,2774674,15.059204,51.278762
0,0,29.31992,3249,9,5.166961,Ox,5739,0,1,-6,-11493,-999,35,-6,-1.8608446,3133670,2774380,15.039062,51.278762
0,0,29.28844,3247,9,5.204878,Ox,5736,0,1,-6,-11509,-999,35,-6,-2.8830406,3135054,2774519,15.045776,51.278762
0,0,29.16255,3248,9,5.239348,Ox,5729,0,1,-6,-11525,-999,35,-6,-3.0875723,3135230,2774852,15.045776,51.278762
0,0,29.03666,3247,9,5.273818,Ox,5727,0,1,-6,-11541,-999,35,-6,-3.5983927,3136349,2774827,15.045776,51.278762
0,0,29.06813,3247,8,5.304075,Ox,5738,0,1,-6,-11557,-999,35,-6,-4.7775735,3137255,2774466,15.059204,51.278762
0,0,29.50874,3249,8,5.333183,Ox,5745,0,1,-6,-11573,-999,36,-6,-5.4206886,3137896,2774444,15.059204,51.278762
0,0,29.09961,3249,8,5.359993,Ox,5729,0,1,-6,-11589,-999,35,-6,-5.8933582,3138831,2774443,15.059204,51.278762
0,0,29.38286,3248,8,5.381058,Ox,5732,1,1,-6,-11605,-999,35,-6,-6.3983545,3139001,2774567,15.059204,51.278762
0,0,29.4458,3249,8,5.400974,Ox,5740,0,1,-6,-11621,-999,35,-6,-6.5739793,3139556,2774734,15.039062,51.278762
0,0,29.50874,3246,9,5.415528,Ox,5727,0,1,-6,-11637,-999,36,-6,-7.0431289,3140400,2774758,15.045776,51.278762
0,0,29.38286,3246,8,5.422422,Ox,5735,1,1,-6,-11653,-999,35,-6,-7.5920376,3140742,2775264,15.045776,51.278762
0,0,29.47727,3247,8,5.425103,Ox,5736,0,1,-6,-11669,-999,35,-6,-7.4083018,3140847,2774864,15.05249,51.278762
0,0,29.57168,3248,8,5.419358,Ox,5733,0,1,-6,-11685,-999,36,-6,-8.1005163,3141522,2774782,15.059204,51.278762
0,0,29.9493,3247,9,5.407102,Ox,5750,0,1,-6,-11701,-999,36,-6,-8.1437263,3142061,2775033,15.059204,51.278762
0,0,30.10663,3247,9,5.390633,Ox,5738,1,1,-6,-11717,-999,36,-6,-8.1117944,3141676,2774962,15.059204,51.278762
0,0,30.0437,3246,8,5.368802,Ox,5755,0,1,-6,-11733,-999,36,-6,-8.7581586,3142295,2774280,15.039062,51.278762
0,0,29.9493,3245,8,5.346588,Ox,5752,1,1,-6,-11749,-999,36,-6,-8.4836444,3142226,2775190,15.045776,51.278762
0,0,30.20103,3244,9,5.325906,Ox,5749,0,1,-6,-11765,-999,36,-6,-8.6744222,3142300,2775168,15.045776,51.278762
0,0,30.38981,3247,8,5.307522,Ox,5757,1,1,-6,-11781,-999,36,-6,-9.4870128,3143134,2775081,15.05249,51.278762
0,0,30.783,3249,8,5.295649,Ox,5747,0,375,-5,-11797,-999,37,-5.921418,-9.3547267,3143040,2774814,15.059204,51.278762
0,0,30.62675,3249,9,5.286074,Ox,5741,1,375,-5,-11813,-999,37,-5.920366,-9.0769376,3143089,2775339,15.059204,51.278762
0,0,30.78364,3247,9,5.278797,Ox,5751,1,375,-5,-11829,-999,37,-5.920784,-9.4453258,3143303,2774998,15.059204,51.278762
0,0,31.03573,3248,9,5.275733,Ox,5742,0,375,-5,-11845,-999,37,-5.920364,-9.292036,3143387,2775390,15.039062,51.278762
0,0,30.91057,3246,9,5.280712,Ox,5741,0,375,-5,-11861,-999,37,-5.919691,-9.1250667,3142980,2775000,15.039062,51.278762
0,0,31.06753,3248,8,5.292585,Ox,5752,1,375,-5,-11877,-999,37,-5.920025,-9.705759,3143350,2774756,15.039062,51.278762
0,0,31.44542,3248,8,5.309437,Ox,5748,-1,375,-5,-11893,-999,37,-5.919606,-9.912713,3143361,2774579,15.045776,51.278762
0,0,31.72951,3247,9,5.331268,Ox,5740,1,375,-5,-11909,-999,38,-5.918595,-9.9466705,3143432,2774423,15.05249,51.278762
0,0,32.10767,3247,8,5.359227,Ox,5751,0,375,-5,-11925,-999,38,-5.917836,-10.206857,3143305,2773858,15.059204,51.278762
0,0,32.58038,3246,9,5.389484,Ox,5749,-1,375,-5,-11941,-999,38,-5.916824,-10.828646,3143546,2773410,15.059204,51.278762
0,0,33.24192,3248,7,5.423188,Ox,5742,1,375,-5,-11957,-999,39,-5.91556,-10.486917,3142604,2773336,15.059204,51.278762
0,0,33.90385,3247,8,5.460339,Ox,5744,0,375,-5,-11973,-999,40,-5.913792,-10.074356,3142346,2773924,15.039062,51.278762
0,0,34.8485,3249,8,5.496341,Ox,5740,0,375,-5,-11989,-999,41,-5.912022,-9.7091875,3142958,2774474,15.039062,51.278762
0,0,36.13923,3247,8,5.533875,Ox,5734,1,375,-5,-12005,-999,42,-5.909496,-9.1732559,3143626,2775247,15.045776,51.278762
0,0,37.27342,3248,7,5.570643,Ox,5732,1,375,-5,-12021,-999,43,-5.906045,-9.5547103,3144438,2776098,15.05249,51.278762
0,0,38.94051,3247,7,5.60856,Ox,5737,0,375,-5,-12037,-999,45,-5.903012,-10.305948,3145832,2775883,15.059204,51.278762
0,0,40.63965,3247,7,5.644179,Ox,5739,0,375,-5,-12053,-999,47,-5.898555,-10.365581,3146079,2776065,15.059204,51.278762
0,0,42.68306,3248,7,5.680564,Ox,5742,0,375,-5,-12069,-999,49,-5.894011,-10.475786,3146152,2775949,15.059204,51.278762
0,0,45.03967,3249,7,5.716949,Ox,5745,0,375,-5,-12085,-999,51,-5.888548,-10.969121,3145779,2774893,15.039062,51.278762
0,0,47.58354,3250,7,5.748738,Ox,5746,0,375,-5,-12101,-999,53,-5.882247,-10.770813,3145437,2775063,15.039062,51.278762
0,0,50.15748,3251,8,5.782825,Ox,5740,0,375,-5,-12117,-999,56,-5.875445,-11.27397,3145522,2774202,15.045776,51.278762
0,0,53.38646,3247,9,5.814997,Ox,5742,0,375,-5,-12133,-999,59,-5.868563,-11.198743,3144829,2774293,15.045776,51.278762
0,0,56.92685,3249,8,5.844871,Ox,5737,0,375,-5,-12149,-999,63,-5.859929,-11.528756,3144824,2773423,15.059204,51.278762
0,0,60.62083,3249,9,5.87283,Ox,5734,1,375,-5,-12165,-999,66,-5.850463,-11.189943,3144535,2773766,15.059204,51.278762
0,0,64.40522,3246,9,5.900023,Ox,5740,0,375,-5,-12181,-999,70,-5.840586,-11.514277,3144702,2773337,15.059204,51.278762
0,0,68.71561,3246,10,5.923003,Ox,5742,1,375,-5,-12197,-999,75,-5.830467,-11.421655,3144804,2773892,15.059204,51.278762
0,0,73.42706,3247,10,5.944834,Ox,5734,0,375,-5,-12213,-999,79,-5.818942,-11.48709,3144262,2773396,15.039062,51.278762
0,0,78.10284,3248,11,5.965899,Ox,5733,0,375,-5,-12229,-999,84,-5.806345,-11.562724,3144657,2773221,15.045776,51.278762
0,0,83.08333,3247,11,5.985815,Ox,5730,0,375,-5,-12245,-999,89,-5.793843,-11.350656,3144336,2773378,15.045776,51.278762
0,0,88.67822,3244,12,6.001135,Ox,5738,0,375,-5,-12261,-999,94,-5.780526,-11.351389,3144248,2773188,15.05249,51.278762
0,0,93.98849,3245,11,6.016072,Ox,5742,0,375,-5,-12277,-999,100,-5.765566,-11.814386,3144280,2772324,15.059204,51.278762
0,0,99.90916,3244,11,6.027945,Ox,5745,0,375,-5,-12293,-999,106,-5.751368,-11.429659,3144149,2773046,15.059204,51.278762
0,0,105.607,3245,11,6.037903,Ox,5737,-1,375,-5,-12309,-999,111,-5.735537,-11.666083,3144074,2772708,15.059204,51.278762
0,0,111.6045,3244,11,6.048627,Ox,5735,1,375,-5,-12325,-999,117,-5.720302,-11.276047,3144090,2773335,15.039062,51.278762
0,0,117.5329,3247,9,6.055521,Ox,5739,-1,375,-5,-12341,-999,123,-5.704266,-11.374425,3143485,2772886,15.039062,51.278762
0,0,123.4835,3245,9,6.063564,Ox,5740,0,375,-5,-12357,-999,129,-5.688415,-11.568343,3144163,2772789,15.045776,51.278762
0,0,129.6409,3248,9,6.072756,Ox,5739,0,375,-5,-12373,-999,135,-5.672504,-11.279041,3143920,2772921,15.05249,51.278762
0,0,135.9433,3247,9,6.082331,Ox,5747,0,375,-5,-12389,-999,142,-5.656041,-11.5246,3143819,2772322,15.05249,51.278762
0,0,142.1761,3248,8,6.094587,Ox,5740,1,375,-5,-12405,-999,148,-5.639189,-11.177904,3143336,2772732,15.059204,51.278762
0,0,147.9417,3250,9,6.106843,Ox,5740,0,375,-5,-12421,-999,154,-5.622524,-11.060316,3143016,2772389,15.059204,51.278762
0,0,153.4546,3249,9,6.119482,Ox,5736,1,375,-5,-12437,-999,159,-5.607108,-11.180044,3143225,2771987,15.059204,51.278762
0,0,159.2651,3250,9,6.134036,Ox,5735,0,375,-5,-12453,-999,165,-5.592368,-11.300978,3143207,2772641,15.045776,51.278762
0,0,164.917,3251,9,6.148973,Ox,5729,0,375,-5,-12469,-999,170,-5.576831,-10.906344,3142816,2772306,15.045776,51.278762
0,0,170.653,3253,8,6.162378,Ox,5729,0,375,-5,-12485,-999,176,-5.561719,-10.840933,3142680,2772156,15.045776,51.278762
0,0,176.4129,3254,8,6.17923,Ox,5723,-1,375,-5,-12501,-999,182,-5.546382,-10.515719,3141739,2772077,15.05249,51.278762
0,0,181.8626,3255,8,6.193401,Ox,5726,0,375,-5,-12517,-999,187,-5.530982,-10.082309,3141167,2771880,15.059204,51.278762
0,0,187.2146,3255,8,6.206806,Ox,5728,1,375,-5,-12533,-999,193,-5.51641,-9.3440732,3140255,2772461,15.059204,51.278762
0,0,192.6213,3257,8,6.220211,Ox,5730,0,375,-5,-12549,-999,198,-5.5021,-8.3540515,3138873,2771847,15.059204,51.278762
0,0,197.9014,3258,8,6.234765,Ox,5735,0,375,-5,-12565,-999,203,-5.487644,-7.4910364,3138032,2772797,15.059204,51.278762
0,0,202.8435,3257,8,6.247021,Ox,5732,0,375,-5,-12581,-999,208,-5.473526,-6.8851323,3136603,2771671,15.039062,51.278762
0,0,207.9913,3258,9,6.258128,Ox,5732,1,375,-5,-12597,-999,213,-5.460311,-4.6911849,3133633,2771988,15.045776,51.278762
0,0,212.8332,3260,8,6.271533,Ox,5737,0,375,-5,-12613,-999,218,-5.446547,-2.9639713,3130926,2771509,15.045776,51.278762
0,0,217.6097,3261,8,6.281491,Ox,5739,0,375,-5,-12629,-999,223,-5.433601,-0.59574332,3128274,2771314,15.05249,51.278762
0,0,222.2615,3260,7,6.292598,Ox,5741,0,375,-5,-12645,-999,228,-5.42083,2.0059814,3124609,2771629,15.059204,51.278762
0,0,226.8188,3259,8,6.302939,Ox,5738,-1,375,-5,-12661,-999,232,-5.408392,4.6128344,3121154,2771381,15.059204,51.278762
0,0,231.3422,3260,8,6.313663,Ox,5745,0,375,-5,-12677,-999,237,-5.396206,7.3599557,3117663,2772009,15.059204,51.278762
0,0,235.7118,3259,8,6.321706,Ox,5744,-1,375,-5,-12693,-999,241,-5.384112,10.632965,3113983,2772014,15.039062,51.278762
0,0,239.8676,3261,8,6.3286,Ox,5742,0,375,-5,-12709,-999,245,-5.372428,12.730367,3110525,2771109,15.045776,51.278762
0,0,244.0199,3262,8,6.337026,Ox,5751,1,375,-5,-12725,-999,249,-5.361317,15.752794,3107498,2772151,15.045776,51.278762
0,0,248.0494,3259,8,6.341239,Ox,5759,0,375,-5,-12741,-999,253,-5.350214,18.032967,3104600,2771592,15.05249,51.278762
0,0,251.8363,3257,9,6.348133,Ox,5752,0,375,-5,-12757,-999,257,-5.33944,20.107982,3101768,2771298,15.059204,51.278762
0,0,255.4706,3258,8,6.356559,Ox,5742,0,375,-5,-12773,-999,261,-5.329315,22.23901,3099311,2771635,15.059204,51.278762
0,0,259.1322,3257,7,6.360389,Ox,5746,1,375,-5,-12789,-999,264,-5.319597,23.673062,3097389,2771099,15.059204,51.278762
0,0,262.3133,3257,7,6.364985,Ox,5751,0,375,-5,-12805,-999,268,-5.309807,25.458936,3095347,2771049,15.039062,51.278762
0,0,265.7906,3254,8,6.369581,Ox,5761,1,375,-5,-12821,-999,271,-5.301301,27.028648,3093433,2771504,15.045776,51.278762
0,0,268.8484,3253,8,6.373794,Ox,5763,0,375,-5,-12837,-999,274,-5.292004,28.416087,3091716,2771647,15.045776,51.278762
0,0,272.1128,3253,7,6.377624,Ox,5759,1,375,-5,-12853,-999,277,-5.283828,30.088686,3089976,2771424,15.05249,51.278762
0,0,275.1374,3252,7,6.381454,Ox,5758,-1,375,-5,-12869,-999,280,-5.275099,31.394536,3088254,2771742,15.059204,51.278762
