
Sample
c21b
Analysis Parameter File Name
swiss3s_ocremoval__withtempoffsets_20200513.par With Temp Offsets
Started: 
18/05/2020
09:56:32
ended: 
18/05/2020 
10:18:52 
Atm Pres,mm Hg
377.1
Analyst
ws
Instrument Name
Lab_NDIR1
CalConst and NDIR Coefficients
22.412,6.39122E-05,9.35543E-03,23.5264,8.59102E-06,0
FilterArea
 1 
TransitTime
0,9
SBasic Version
 17302 
VBasic Version
OCEC1133Ox
 1190 
FID1,FID2,Sample_temperature,laserTrans,laserLowTrans,pressure psig,mode,laserRefl,laserLowRefl,DesiredTempSetPt,TempOffsetPt,TimeStamp,MethanatorTemp,FrnOvn TC,Computed Offset,CO2_ppm,M_sig,R_sig,Cvolt,Tamb_ndir
0,0,29.88637,857,1,0.20443,Ox,1756,-1,1,-6,-10221,-999,36,-6,-0.5986443,3201704,2835615,15.05249,51.278762
0,0,29.4458,858,0,0.216686,Ox,1756,-1,1,-6,-10237,-999,35,-6,-2.319499,3202949,2835590,15.039062,51.278762
0,0,29.4458,857,1,0.239666,Ox,1756,-1,1,-6,-10253,-999,35,-6,-3.3849079,3204274,2836173,15.039062,51.278762
0,0,29.35139,857,1,0.230474,Ox,1755,-1,1,-6,-10269,-999,35,-6,-5.7084074,3205497,2835886,15.039062,51.278762
0,0,29.35139,859,0,0.178003,Ox,1754,0,1,-6,-10285,-999,35,-6,-6.4540352,3206674,2836489,15.045776,51.278762
0,0,29.4458,859,0,0.145448,Ox,1755,-1,1,-6,-10301,-999,35,-6,-7.7338032,3207285,2835689,15.059204,51.278762
0,0,29.4458,858,1,0.135873,Ox,1755,0,1,-6,-10317,-999,35,-6,-7.9391226,3207457,2835592,15.059204,51.278762
0,0,29.4458,857,0,0.142767,Ox,1754,0,1,-6,-10333,-999,35,-6,-8.3278245,3207819,2835901,15.059204,51.278762
0,0,29.4458,858,0,0.165364,Ox,1754,0,1,-6,-10349,-999,35,-6,-8.0712795,3207689,2836347,15.05249,51.278762
0,0,29.4458,859,-1,0.196387,Ox,1755,-1,1,-6,-10365,-999,35,-6,-8.7278394,3208255,2836563,15.039062,51.278762
0,0,29.38286,858,0,0.222048,Ox,1756,-1,1,-6,-10381,-999,35,-6,-9.0792026,3209112,2836300,15.039062,51.278762
0,0,29.50874,857,0,0.234687,Ox,1755,0,1,-6,-10397,-999,36,-6,-9.173624,3208522,2836277,15.039062,51.278762
0,0,29.54021,858,0,0.239283,Ox,1755,0,1,-6,-10413,-999,36,-6,-10.225881,3209622,2836211,15.045776,51.278762
0,0,29.60315,859,0,0.241198,Ox,1756,-1,1,-6,-10429,-999,36,-6,-10.283012,3210288,2836253,15.059204,51.278762
0,0,29.66609,858,0,0.241198,Ox,1756,-1,1,-6,-10445,-999,36,-6,-10.822533,3209876,2835998,15.059204,51.278762
0,0,29.72903,857,0,0.240815,Ox,1756,0,1,-6,-10461,-999,36,-6,-10.879996,3210573,2836472,15.059204,51.278762
0,0,29.72903,857,0,0.240815,Ox,1754,0,1,-6,-10477,-999,36,-6,-11.198256,3210986,2836107,15.039062,51.278762
0,0,29.69756,858,0,0.240049,Ox,1756,-1,1,-6,-10493,-999,36,-6,-10.784813,3210861,2836364,15.039062,51.278762
0,0,29.88637,858,0,0.240432,Ox,1757,-1,1,-6,-10509,-999,36,-6,-11.827151,3211198,2836061,15.039062,51.278762
0,0,29.88637,856,1,0.239666,Ox,1757,-1,1,-6,-10525,-999,36,-6,-11.768517,3211141,2836185,15.045776,51.278762
0,0,29.91784,858,0,0.239666,Ox,1756,-1,1,-6,-10541,-999,36,-6,-12.414222,3211913,2835794,15.059204,51.278762
0,0,29.91784,857,0,0.238134,Ox,1751,-1,1,-6,-10557,-999,36,-6,-12.036859,3211330,2836428,15.059204,51.278762
0,0,30.20103,858,0,0.237368,Ox,1752,0,1,-6,-10573,-999,36,-6,-11.941049,3211377,2836335,15.05249,51.278762
0,0,30.1381,858,0,0.235836,Ox,1757,-1,1,-6,-10589,-999,36,-6,-12.487896,3211421,2836326,15.05249,51.278762
0,0,30.32688,858,0,0.232389,Ox,1752,-1,1,-6,-10605,-999,36,-6,-12.456034,3211915,2836486,15.039062,51.278762
0,0,30.38981,857,0,0.226261,Ox,1756,0,1,-6,-10621,-999,36,-6,-12.37192,3211540,2835923,15.039062,51.278762
0,0,30.51566,857,0,0.21975,Ox,1751,0,1,-6,-10637,-999,37,-6,-12.998157,3212388,2835931,15.045776,51.278762
0,0,30.4842,856,1,0.213239,Ox,1753,0,1,-6,-10653,-999,36,-6,-12.694178,3212263,2835904,15.05249,51.278762
0,0,30.61004,859,0,0.207111,Ox,1755,0,1,-6,-10669,-999,37,-6,-12.77906,3212360,2835973,15.059204,51.278762
0,0,30.6415,859,0,0.203281,Ox,1751,-1,1,-6,-10685,-999,37,-6,-12.583963,3211899,2836415,15.05249,51.278762
0,0,30.73589,858,0,0.201366,Ox,1756,-1,1,-6,-10701,-999,37,-6,-12.452982,3212273,2836664,15.059204,51.278762
0,0,30.92464,858,0,0.201749,Ox,1754,0,1,-6,-10717,-999,37,-6,-12.561687,3212163,2836617,15.039062,51.278762
0,0,31.11338,860,-1,0.203664,Ox,1752,-1,1,-6,-10733,-999,37,-6,-12.70559,3212391,2836298,15.039062,51.278762
0,0,31.27066,859,0,0.206728,Ox,1754,-1,1,-6,-10749,-999,37,-6,-12.526286,3212219,2836475,15.039062,51.278762
0,0,31.1763,859,0,0.209792,Ox,1756,-1,1,-6,-10765,-999,37,-6,-13.31888,3212304,2835797,15.045776,51.278762
0,0,31.45939,859,0,0.213622,Ox,1752,0,1,-6,-10781,-999,37,-6,-12.553508,3211927,2836528,15.05249,51.278762
0,0,31.49084,857,1,0.218218,Ox,1751,-1,1,-6,-10797,-999,37,-6,-12.906522,3212113,2836044,15.059204,51.278762
0,0,31.71101,859,0,0.221282,Ox,1753,-1,1,-6,-10813,-999,38,-6,-13.14444,3211886,2835627,15.05249,51.278762
0,0,31.89971,858,0,0.223963,Ox,1754,-1,1,-6,-10829,-999,38,-6,-13.697788,3211513,2834916,15.05249,51.278762
0,0,31.74246,857,0,0.226261,Ox,1756,-1,1,-6,-10845,-999,38,-6,-14.306598,3211542,2834438,15.039062,51.278762
0,0,32.32784,856,1,0.228176,Ox,1756,-1,375,-5,-10861,-999,38,-5.917801,-13.297108,3210463,2834825,15.039062,51.278762
0,0,32.26651,857,1,0.230091,Ox,1754,0,375,-5,-10877,-999,38,-5.916236,-12.418861,3210351,2835246,15.045776,51.278762
0,0,32.26635,859,-1,0.230857,Ox,1753,-1,375,-5,-10893,-999,38,-5.916399,-12.581704,3211219,2836150,15.05249,51.278762
0,0,32.51792,856,1,0.233921,Ox,1752,-1,375,-5,-10909,-999,38,-5.9164,-12.45756,3212865,2836912,15.059204,51.278762
0,0,32.64437,858,0,0.239283,Ox,1752,-1,375,-5,-10925,-999,39,-5.915728,-12.377414,3213969,2837644,15.059204,51.278762
0,0,32.80193,857,1,0.243879,Ox,1752,-1,375,-5,-10941,-999,39,-5.91539,-12.920737,3214388,2837662,15.05249,51.278762
0,0,33.05388,859,0,0.251922,Ox,1753,-1,375,-5,-10957,-999,39,-5.914968,-13.800696,3214601,2837639,15.039062,51.278762
0,0,33.33751,857,1,0.257667,Ox,1752,0,375,-5,-10973,-999,39,-5.914294,-14.331091,3214233,2836689,15.039062,51.278762
0,0,33.74694,858,1,0.261114,Ox,1751,0,375,-5,-10989,-999,40,-5.913536,-13.883903,3213440,2836832,15.045776,51.278762
0,0,34.0938,858,0,0.264944,Ox,1752,-1,375,-5,-11005,-999,40,-5.912441,-14.940075,3213316,2836120,15.05249,51.278762
0,0,34.81758,856,1,0.268008,Ox,1752,-1,375,-5,-11021,-999,41,-5.911514,-14.949514,3213330,2835761,15.059204,51.278762
0,0,35.51081,858,0,0.271838,Ox,1752,-1,375,-5,-11037,-999,41,-5.909579,-15.535739,3213332,2834827,15.059204,51.278762
0,0,36.29807,859,0,0.275285,Ox,1754,-1,375,-5,-11053,-999,42,-5.907725,-15.490764,3212419,2834876,15.059204,51.278762
0,0,37.33665,857,1,0.277966,Ox,1755,-2,375,-5,-11069,-999,43,-5.90562,-15.202915,3212087,2835084,15.05249,51.278762
0,0,38.62676,860,0,0.279115,Ox,1754,-2,375,-5,-11085,-999,45,-5.902843,-15.400077,3212204,2834439,15.039062,51.278762
0,0,40.074,859,0,0.280264,Ox,1752,0,375,-5,-11101,-999,46,-5.899394,-15.196826,3211824,2834460,15.039062,51.278762
0,0,41.55247,861,-1,0.280264,Ox,1754,-1,375,-5,-11117,-999,47,-5.895524,-15.477131,3212284,2834226,15.045776,51.278762
0,0,43.43803,860,0,0.281413,Ox,1755,-2,375,-5,-11133,-999,49,-5.891571,-15.314557,3211868,2833904,15.05249,51.278762
0,0,45.54308,860,0,0.281413,Ox,1751,0,375,-5,-11149,-999,51,-5.886529,-15.479199,3211986,2834145,15.059204,51.278762
0,0,48.0233,859,1,0.280264,Ox,1750,-1,375,-5,-11165,-999,54,-5.880901,-15.497214,3211930,2833945,15.059204,51.278762
0,0,50.62807,858,2,0.280264,Ox,1749,-1,375,-5,-11181,-999,57,-5.874269,-15.403487,3211819,2834056,15.05249,51.278762
0,0,53.51279,858,2,0.279881,Ox,1745,0,375,-5,-11197,-999,59,-5.867305,-15.893032,3211626,2833306,15.039062,51.278762
